stationCode,line,currentZh,currentKo,currentEn,problem,suggestedFix,sources,confidence
109,首爾 1 號線,可能,가능,Ganeung,中文錯譯；「가능」不是『可能』,中文改為「佳陵」；英文改為「Ganeung」,[首都圈電鐵1號線](https://zh.wikipedia.org/wiki/首都圈電鐵1號線)；[KRIC 1 號線](https://www.data.go.kr/data/15064037/fileData.do)；使用者提供之中文維基＋Namu 人工核對結果,高
119,首爾 1 號線,光雲大,광운대,Gwangundae,機構縮寫未展開，且官方英文不是羅馬字發音；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「光雲大學」；英文改為「Kwangwoon Univ.」；若仍要保留拼音，另增 romanized 欄位,[首都圈電鐵1號線](https://zh.wikipedia.org/wiki/首都圈電鐵1號線)；[KRIC 1 號線](https://www.data.go.kr/data/15064037/fileData.do)；使用者提供之中文維基＋Namu 人工核對結果；[KRIC capital line 1](https://www.data.go.kr/data/15064037/fileData.do),高
122,首爾 1 號線,外大前,외대앞,Oedaeap,「외대앞」是韓國外國語大學前，中文慣例省略 앞；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「韓國外國語大學」；英文改為「Hankuk Univ. of Foreign Studies」；若仍要保留拼音，另增 romanized 欄位,[首都圈電鐵1號線](https://zh.wikipedia.org/wiki/首都圈電鐵1號線)；[KRIC 1 號線](https://www.data.go.kr/data/15064037/fileData.do)；使用者提供之中文維基＋Namu 人工核對結果；[KRIC capital line 1](https://www.data.go.kr/data/15064037/fileData.do),高
124,首爾 1 號線,淸涼里,청량리,Cheongnyangni,使用異體字『淸』，應統一正體字『清』,中文改為「清涼里」；英文改為「Cheongnyangni」,[首都圈電鐵1號線](https://zh.wikipedia.org/wiki/首都圈電鐵1號線)；[KRIC 1 號線](https://www.data.go.kr/data/15064037/fileData.do)；使用者提供之中文維基＋Namu 人工核對結果,高
127,首爾 1 號線,東廟前,동묘앞,Dongmyoap,中文慣例省略 앞，官方英文亦省略 ap；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「東廟」；英文改為「Dongmyo」；若仍要保留拼音，另增 romanized 欄位,[首都圈電鐵1號線](https://zh.wikipedia.org/wiki/首都圈電鐵1號線)；[KRIC 1 號線](https://www.data.go.kr/data/15064037/fileData.do)；使用者提供之中文維基＋Namu 人工核對結果；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),高
627,首爾 6 號線,孝昌公園前,효창공원앞,Hyochanggongwonap,中文慣例省略 앞，官方英文不是羅馬字發音；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「孝昌公園」；英文改為「Hyochang Park」；若仍要保留拼音，另增 romanized 欄位,[首尔地铁6号线](https://zh.wikipedia.org/wiki/首尔地铁6号线)；[KRIC 6 號線](https://www.data.go.kr/data/15064045/fileData.do)；使用者提供之中文維基＋Namu 人工核對結果；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
636,首爾 6 號線,東廟前,동묘앞,Dongmyoap,與 1 號線同一轉乘站，中文慣例省略 앞；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「東廟」；英文改為「Dongmyo」；若仍要保留拼音，另增 romanized 欄位,[首尔地铁6号线](https://zh.wikipedia.org/wiki/首尔地铁6号线)；[KRIC 6 號線](https://www.data.go.kr/data/15064045/fileData.do)；使用者提供之中文維基＋Namu 人工核對結果；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
449,首爾 4 號線,漢大前,한대앞,Hanyang Univ. at Ansan,「한대앞」是漢陽大學前，中文慣例省略 앞,中文改為「漢陽大學」；英文改為「Hanyang Univ. at Ansan」,[首都圈电铁4号线](https://zh.wikipedia.org/wiki/首都圈电铁4号线)；[KRIC 4 號線](https://www.data.go.kr/data/15064041/fileData.do)；使用者提供之中文維基＋Namu 人工核對結果,中
209,首爾 2 號線,漢陽大,한양대,Hanyangdae,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「漢陽大學」；英文採官方站名「Hanyang Univ.」；英文改為「Hanyang Univ.」；若仍要保留拼音，另增 romanized 欄位,[首爾地鐵2號線](https://zh.wikipedia.org/wiki/首爾地鐵2號線)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
212,首爾 2 號線,建大入口,건대입구,Geondaeipgu,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「建國大學」；英文採官方站名「Konkuk Univ.」；英文改為「Konkuk Univ.」；若仍要保留拼音，另增 romanized 欄位,[首爾地鐵2號線](https://zh.wikipedia.org/wiki/首爾地鐵2號線)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
223,首爾 2 號線,教大,교대,Gyodae,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「首爾教育大學」；英文採官方站名「Seoul Nat'l Univ. of Education(Court & Prosecutors’ Office)」；英文改為「Seoul Nat'l Univ. of Education(Court & Prosecutors’ Office)」；若仍要保留拼音，另增 romanized 欄位,[首爾地鐵2號線](https://zh.wikipedia.org/wiki/首爾地鐵2號線)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
228,首爾 2 號線,首爾大入口,서울대입구,Seouldaeipgu,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「首爾大學」；英文採官方站名「Seoul Nat‘l Univ. (Gwanakgu Office)」；英文改為「Seoul Nat‘l Univ. (Gwanakgu Office)」；若仍要保留拼音，另增 romanized 欄位,[首爾地鐵2號線](https://zh.wikipedia.org/wiki/首爾地鐵2號線)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
239,首爾 2 號線,弘大入口,홍대입구,Hongdaeipgu,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「弘益大學」；英文採官方站名「Hongik Univ.」；英文改為「Hongik Univ.」；若仍要保留拼音，另增 romanized 欄位,[首爾地鐵2號線](https://zh.wikipedia.org/wiki/首爾地鐵2號線)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
