연번,호선,한글,한자,영문,중국어,일본어
1,1호선,서울역,,Seoul Station,首尔站,ソウル駅
2,1호선,시청,市廳,City Hall,市厅,シチョン
3,1호선,종각,鐘閣,Jonggak,钟阁,チョンガク
4,1호선,종로3가,鍾路3街,Jongno 3(sam)ga,钟路三街,チョンノサムガ
5,1호선,종로5가,鍾路5街,Jongno 5(o)ga,钟路五街,チョンノオガ
6,1호선,동대문,東大門,Dongdaemun,东大门,トンデムン
7,1호선,동묘앞,東廟앞,Dongmyo,东庙,トンミョアプ
8,1호선,신설동,新設洞,Sinseoldong,新设洞,シンソルトン
9,1호선,제기동,祭基洞,Jegidong,祭基洞,チェギドン
10,1호선,청량리(서울시립대입구),淸凉里(서울市立大入口),Cheongnyangni(University of Seoul),清凉里(首尔市立大学),チョンニャンニ
11,2호선,시청,市廳,City Hall,市厅,シチョン
12,2호선,을지로입구,乙支路入口,Euljiro 1(il)ga,乙支路入口,ウルチロイック
13,2호선,을지로3가,乙支路3街,Euljiro 3(sam)ga,乙支路三街,ウルチロサムガ
14,2호선,을지로4가,乙支路4街,Euljiro 4(sa)ga,乙支路四街,ウルチロサガ
15,2호선,동대문역사문화공원(DDP),東大門歷史文化公園(DDP),Dongdaemun History & Culture Park(DDP),东大门历史文化公园(DDP),トンデムンヨクサムンファゴンウォン(DDP)
16,2호선,신당,新堂,Sindang,新堂,シンダン
17,2호선,상왕십리,上往十里,Sangwangsimni,上往十里,サンワンシムニ
18,2호선,왕십리(성동구청),往十里(城東區廳),Wangsimni(Seongdonggu Office),往十里(城东区厅),ワンシムニ(ソンドン区庁)
19,2호선,한양대,漢陽大,Hanyang Univ.,汉阳大学,ハニャンデ
20,2호선,뚝섬,,Ttukseom,纛岛,トゥッソム
21,2호선,성수,聖水,Seongsu,圣水,ソンス
22,2호선,건대입구,建大入口,Konkuk Univ.,建国大学,コンデイック
23,2호선,구의(광진구청),九宜(廣津區廳),Guui (Gwangjingu Office),九宜(广津区厅),クイ
24,2호선,강변(동서울터미널),江邊(東서울터미널),Gangbyeon (Dongseoul Bus Terminal),江边(东首尔客运站),カンビョン
25,2호선,잠실나루,蠶室나루,Jamsillaru,蚕室渡口,チャムシルナル
26,2호선,잠실(송파구청),蠶室(松坡區廳),Jamsil (Songpagu Office),蚕室(松坡区厅),チャムシル
27,2호선,잠실새내,,Jamsilsaenae,蚕室新川,チャムシルセネ
28,2호선,종합운동장,綜合運動場,Sports Complex,综合运动场,チョンハブンドンジャン
29,2호선,삼성(무역센터),三成(貿易센터),Samseong (World Trade Center Seoul),三成(会展中心),サムソン(三成)
30,2호선,선릉,宣陵,Seolleung,宣陵,ソンルン
31,2호선,역삼,驛三,Yeoksam,驿三,ヨッサム
32,2호선,강남,江南,Gangnam,江南,カンナム
33,2호선,교대(법원·검찰청),敎大(法院·檢察廳),Seoul Nat'l Univ. of Education(Court & Prosecutors’ Office),首尔教育大学(法院·检察厅),キョデ
34,2호선,서초,瑞草,Seocho,瑞草,ソチョ
35,2호선,방배,方背,Bangbae,方背,パンベ
36,2호선,사당,舍堂,Sadang,舍堂,サダン
37,2호선,낙성대(강감찬),落星垈(姜邯贊),Nakseongdae(Ganggamchan),落星垈(姜邯赞),ナクソンデ(カン・ガムチャン)
38,2호선,서울대입구(관악구청),서울大入口(冠岳區廳),Seoul Nat‘l Univ. (Gwanakgu Office),首尔大学(冠岳区厅),ソウルデイック
39,2호선,봉천,奉天,Bongcheon,奉天,ポンチョン
40,2호선,신림,新林,Sillim,新林,シンリム
41,2호선,신대방,新大方,Sindaebang,新大方,シンデバン
42,2호선,구로디지털단지,九老디지털團地,Guro Digital Complex,九老数码园区,クロ・デジタルダンジ
43,2호선,대림(구로구청),大林(九老區廳),Daerim (Gurogu Office),大林(九老区厅),テリム
44,2호선,신도림,新道林,Sindorim,新道林,シンドリム
45,2호선,문래,文來,Mullae,文来,ムンレ
46,2호선,영등포구청,永登浦區廳,Yeongdeungpogu Office,永登浦区厅,ヨンドゥンポグチョン
47,2호선,당산,堂山,Dangsan,堂山,タンサン
48,2호선,합정,合井,Hapjeong,合井,ハプチョン
49,2호선,홍대입구,弘大入口,Hongik Univ.,弘益大学,ホンデイック
50,2호선,신촌(지하),新村,Sinchon,新村,シンチョン(新村)
51,2호선,이대,梨大,Ewha Womans Univ.,梨花女子大学,イデ
52,2호선,아현,阿峴,Ahyeon,阿岘,アヒョン
53,2호선,충정로(경기대입구),忠正路(京畿大入口),Chungjeongno (Kyonggi Univ.),忠正路(京畿大学),チュンジョンノ
54,2호선,용답,龍踏,Yongdap,龙踏,ヨンダプ
55,2호선,신답,新踏,Sindap,新踏,シンダプ
56,2호선,용두(동대문구청),龍頭(東大門區廳),Yongdu (Dongdaemungu Office),龙头(东大门区厅),ヨンドゥ
57,2호선,신설동,新設洞,Sinseoldong,新设洞,シンソルトン
58,2호선,도림천,道林川,Dorimcheon,道林川,トリムチョン
59,2호선,양천구청,陽川區廳,Yangcheongu Office,阳川区厅,ヤンチョングチョン
60,2호선,신정네거리,新亭네거리,Sinjeongnegeori,新亭十字路口,シンジョンネゴリ
61,2호선,까치산,까치山,Kkachisan,喜鹊山,カチサン
61,3호선,지축,紙木丑,Jichuk,纸杻,チチュク
62,3호선,구파발,舊把撥,Gupabal,旧把拨,クパバル
63,3호선,연신내,,Yeonsinnae,延新川,ヨンシンネ
64,3호선,불광,佛光,Bulgwang,佛光,プルグァン
65,3호선,녹번,碌磻,Nokbeon,碌磻,ノッポン
66,3호선,홍제,弘濟,Hongje,弘济,ホンジェ
67,3호선,무악재,毋岳재,Muakjae,毋岳岭,ムアクチェ
68,3호선,독립문,獨立門,Dongnimmun,独立门,トンニンムン
69,3호선,경복궁(정부서울청사),景福宮(政府中央廳舍),Gyeongbokgung (Government ComplexSeoul),景福宫(政府首尔厅舍),キョンボックン
70,3호선,안국,安國,Anguk,安国,アングク
71,3호선,종로3가,鍾路3街,Jongno 3(sam)ga,钟路三街,チョンノサムガ
72,3호선,을지로3가,乙支路3街,Euljiro 3(sam)ga,乙支路三街,ウルチロサムガ
73,3호선,충무로,忠武路,Chungmuro,忠武路,チュンムロ
74,3호선,동대입구,東大入口,Dongguk Univ.,东国大学,トンデイック
75,3호선,약수,藥水,Yaksu,药水,ヤクス 
76,3호선,금호,金湖,Geumho,金湖,クムホ
77,3호선,옥수,玉水,Oksu,玉水,オクス
78,3호선,압구정,狎鷗亭,Apgujeong,狎鸥亭,アックジョン
79,3호선,신사,新沙,Sinsa,新沙,シンサ
80,3호선,잠원,蠶院,Jamwon,蚕院,チャムォン
81,3호선,고속터미널,高速터미널,Express Bus Terminal,高速巴士客运站,コソクターミナル
82,3호선,교대(법원·검찰청),敎大(法院·檢察廳),Seoul Nat'l Univ. of Education(Court & Prosecutors’ Office),首尔教育大学(法院·检察厅),キョデ 
83,3호선,남부터미널(예술의전당),南部터미널(藝術의殿堂),Nambu Bus Terminal (Seoul Arts Center),南部客运站(艺术殿堂),ナンブターミナル
84,3호선,양재(서초구청),良才(瑞草區廳),Yangjae (Seochogu Office),良才(瑞草区厅),ヤンジェ
85,3호선,매봉,,Maebong,梅峰,メボン
86,3호선,도곡,道谷,Dogok,道谷,トゴク
87,3호선,대치,大峙,Daechi,大峙,テチ
88,3호선,학여울,鶴여울,Hangnyeoul,鹤滩,ハンニョウル 
89,3호선,대청,,Daecheong,大厅,テチョン
90,3호선,일원,逸院,Irwon,逸院,イルォン
91,3호선,수서,水西,Suseo,水西,スソ
92,3호선,가락시장,可樂市長,Garak Market,可乐市场,カラク・シジャン
93,3호선,경찰병원,警察病院,National Police Hospital,警察医院,キョンチャル・ピョンウォン
94,3호선,오금,梧琴,Ogeum,梧琴,オグム
95,4호선,불암산,佛巖山,Buramsan,佛岩山,プラムサン
96,4호선,상계,上溪,Sanggye,上溪,サンゲ
97,4호선,노원,蘆原,Nowon,芦原,ノウォン
98,4호선,창동,倉洞,Changdong,仓洞,チャンドン
99,4호선,쌍문,雙門,Ssangmun,双门,サンムン
100,4호선,수유(강북구청),水踰(江北區廳),Suyu (Gangbukgu Office),水逾(江北区厅),スユ
101,4호선,미아(서울사이버대학),彌阿(서울사이버大學),Mia (Seoul Cyber Univ.),弥阿(首尔网络大学),ミア
102,4호선,미아사거리 ,彌阿사거리,Miasageori ,弥阿十字路口,ミアサゴリ
103,4호선,길음,吉音,Gireum,吉音,キルム
104,4호선,성신여대입구(돈암),誠信女大入口(敦岩),Sungshin Women's Univ. (Donam),诚信女子大学(敦岩),ソンシンヨデイック
105,4호선,한성대입구(삼선교),漢城大入口(三仙橋),Hansung Univ. (Samseongyo),汉城大学(三仙桥),ハンソンデイック
106,4호선,혜화,惠化,Hyehwa,惠化,ヘファ
107,4호선,동대문,東大門,Dongdaemun,东大门,トンデムン
108,4호선,동대문역사문화공원(DDP),東大門歷史文化公園(DDP),Dongdaemun History & Culture Park(DDP),东大门历史文化公园(DDP),トンデムンヨクサムンファゴンウォン(DDP)
109,4호선,충무로,忠武路,Chungmuro,忠武路,チュンムロ
110,4호선,명동,明洞,Myeongdong,明洞,ミョンドン
111,4호선,회현(남대문시장),會賢(南大門市場),Hoehyeon (Namdaemun Market),会贤(南大门市场),フェヒョン
112,4호선,서울역,,Seoul Station,首尔站,ソウル駅
113,4호선,숙대입구(서울시교육청),淑大入口(서울市教育廳),Sookmyung Women's Univ. (Seoul Metropolitan Office of Education),淑明女子大学(首尔市教育厅),スクデイプク(ソウル特別市教育庁)
114,4호선,삼각지(전쟁기념관),三角地(戦争紀念館),Samgakji(The War Memorial of Korea),三角地(战争纪念馆),サムガクチ(戦争記念館)
115,4호선,신용산,新龍山,Sinyongsan,新龙山,シニョンサン
116,4호선,이촌(국립중앙박물관),二村(國立中央博物館),Ichon (National Museum of Korea),二村(国立中央博物馆),イチョン
117,4호선,동작(현충원),銅雀(顯忠院),Dongjak (Seoul National Cemetery),铜雀(显忠院),トンジャク
118,4호선,총신대입구(이수),總神大入口(梨水),Chongshin Univ. (Isu),总神大学(梨水),チョンシンデイック
119,4호선,사당,舍堂,Sadang,舍堂,サダン
120,4호선,남태령,南泰嶺,Namtaeryeong,南泰岭,ナムテリョン
121,5호선,방화,傍花,Banghwa,傍花,パンファ
122,5호선,개화산,開花山,Gaehwasan,开花山,ケファサン
123,5호선,김포공항,金浦空港,Gimpo Int'l Airport,金浦机场,キンポ空港
124,5호선,송정,松亭,Songjeong,松亭,ソンジョン
125,5호선,마곡,麻谷,Magok,麻谷,マゴク
126,5호선,발산,鉢山,Balsan,钵山,パルサン
127,5호선,우장산,雨裝山,Ujangsan,雨装山,ウジャンサン
128,5호선,화곡,禾谷,Hwagok,禾谷,ファゴク
129,5호선,까치산,까치山,Kkachisan,喜鹊山,カチサン
130,5호선,신정(은행정),新亭(銀杏亭),Sinjeong(Eunhaengjeong),新亭(银杏亭),シンジョン
131,5호선,목동,木洞,Mokdong,木洞,モクトン
132,5호선,오목교(목동운동장앞),梧木橋(木洞運動場앞),Omokgyo(Mokdong Stadium),梧木桥(木洞运动场),オモッキョ
133,5호선,양평,楊坪,Yangpyeong,杨坪,ヤンピョン
134,5호선,영등포구청,永登浦區廳,Yeongdeungpogu Office,永登浦区厅,ヨンドゥンポグチョン
135,5호선,영등포시장,永登浦市場,Yeongdeungpo Market,永登浦市场,ヨンドゥンポシジャン
136,5호선,신길,新吉,Singil,新吉,シンギル
137,5호선,여의도,汝矣島,Yeouido,汝矣岛,ヨイド
138,5호선,여의나루,여의나루,Yeouinaru,汝矣渡口,ヨイナル
139,5호선,마포,麻浦,Mapo,麻浦,マポ
140,5호선,공덕,孔德,Gongdeok,孔德,コンドク
141,5호선,애오개,애오개,Aeogae,儿岭,エオゲ
142,5호선,충정로(경기대입구),忠正路(京畿大入口),Chungjeongno(Kyonggi Univ.),忠正路(京畿大学),チュンジョンノ
143,5호선,서대문,西大門,Seodaemun,西大门,ソデムン
144,5호선,광화문(세종문화회관),光化門(世宗文化會館),Gwanghwamun(Sejong Center for the Performing Arts),光化门(世宗文化会馆),クァンファムン
145,5호선,종로3가(탑골공원),鐘路3街(탑골공원),Jongno 3(sam)ga(Tapgol Park),钟路三街(塔谷公园),チョンノサムガ
146,5호선,을지로4가,乙支路4街,Euljiro 4(sa)ga,乙支路四街,ウルチロサガ
147,5호선,동대문역사문화공원(DDP),東大門歷史文化公園(DDP),Dongdaemun History & Culture Park(DDP),东大门历史文化公园(DDP),トンデムンヨクサムンファゴンウォン(DDP)
148,5호선,청구,靑丘,Cheonggu,青丘,チョング
149,5호선,신금호,新金湖,Singeumho,新金湖,シングムホ
150,5호선,행당,杏堂,Haengdang,杏堂,ヘンダン
151,5호선,왕십리(성동구청),往十里(城東區廳),Wangsimni(Seongdonggu Office),往十里(城东区厅),ワンシムニ(ソンドン区庁)
152,5호선,마장,馬場,Majang,马场,マジャン
153,5호선,답십리,踏十里,Dapsimni,踏十里,タプシムニ
154,5호선,장한평,長漢坪,Janghanpyeong,长汉坪,チャンハンピョン
155,5호선,군자(능동),君子(陵洞),Gunja(Neungdong),君子(陵洞),クンジャ
