city,lineId,lineZh,stationCode,ko,zh,en,lat,lng,stationKey
"seoul","1","1號線","100-3","연천","漣川","Yeoncheon","38.10167","127.07389","연천"
"seoul","1","1號線","100-2","전곡","全谷","Jeongok","38.0245","127.0713","전곡"
"seoul","1","1號線","100-1","청산","青山","Cheongsan","37.99528","127.07444","청산"
"seoul","1","1號線","100","소요산","逍遙山","Soyosan","37.9488","127.0611","소요산"
"seoul","1","1號線","101","동두천","東豆川","Dongducheon","37.9275","127.0548","동두천"
"seoul","1","1號線","102","보산","保山","Bosan","37.9143","127.0571","보산"
"seoul","1","1號線","103","동두천중앙","東豆川中央","Dongducheon Jungang","37.9018","127.0565","동두천중앙"
"seoul","1","1號線","104","지행","紙杏","Jihaeng","37.8924","127.0558","지행"
"seoul","1","1號線","105","덕정","德亭","Deokjeong","37.8432","127.0615","덕정"
"seoul","1","1號線","106","덕계","德溪","Deokgye","37.8187","127.0568","덕계"
"seoul","1","1號線","107","양주","楊州","Yangju","37.7743","127.0448","양주"
"seoul","1","1號線","108","녹양","綠楊","Nogyang","37.7594","127.0423","녹양"
"seoul","1","1號線","109","가능","可能","Ganeung","37.7486","127.0442","가능"
"seoul","1","1號線","110","의정부","議政府","Uijeongbu","37.7384","127.0457","의정부"
"seoul","1","1號線","111","회룡","回龍","Hoeryong","37.7246","127.0467","회룡"
"seoul","1","1號線","112","망월사","望月寺","Mangwolsa","37.70991","127.04745","망월사"
"seoul","1","1號線","113","도봉산","道峰山","Dobongsan","37.68931","127.04622","도봉산"
"seoul","1","1號線","114","도봉","道峰","Dobong","37.67956","127.0456","도봉"
"seoul","1","1號線","115","방학","放鶴","Banghak","37.6675","127.04427","방학"
"seoul","1","1號線","116","창동","倉洞","Changdong","37.65317","127.04773","창동"
"seoul","1","1號線","117","녹천","鹿川","Nokcheon","37.6448","127.05127","녹천"
"seoul","1","1號線","118","월계","月溪","Wolgye","37.63321","127.05883","월계"
"seoul","1","1號線","119","광운대","光雲大","Gwangundae","37.62363","127.06184","광운대"
"seoul","1","1號線","120","석계","石溪","Seokgye","37.6148","127.06585","석계"
"seoul","1","1號線","121","신이문","新里門","Sinimun","37.60185","127.06732","신이문"
"seoul","1","1號線","122","외대앞","外大前","Oedaeap","37.59607","127.06355","외대앞"
"seoul","1","1號線","123","회기","回基","Hoegi","37.58946","127.05758","회기"
"seoul","1","1號線","124","청량리","淸涼里","Cheongnyangni","37.58018","127.04684","청량리"
"seoul","1","1號線","125","제기동","祭基洞","Jegidong","37.5781","127.03489","제기동"
"seoul","1","1號線","126","신설동","新設洞","Sinseoldong","37.5753","127.02509","신설동"
"seoul","1","1號線","127","동묘앞","東廟前","Dongmyoap","37.57263","127.01643","동묘앞"
"seoul","1","1號線","128","동대문","東大門","Dongdaemun","37.57142","127.00974","동대문"
"seoul","1","1號線","129","종로5가","鐘路5街","Jongno 5-ga","37.57093","127.00185","종로5가"
"seoul","1","1號線","130","종로3가","鐘路3街","Jongno 3-ga","37.57161","126.99181","종로3가"
"seoul","1","1號線","131","종각","鐘閣","Jonggak","37.57016","126.98292","종각"
"seoul","1","1號線","132","시청","市廳","Sicheong","37.56472","126.97711","시청"
"seoul","1","1號線","133","서울역","首爾站","Seoullyeok","37.55465","126.97256","서울역"
"seoul","1","1號線","134","남영","南營","Namyeong","37.54102","126.9713","남영"
"seoul","1","1號線","135","용산","龍山","Yongsan","37.52985","126.96456","용산"
"seoul","1","1號線","136","노량진","鷺梁津","Noryangjin","37.51422","126.94245","노량진"
"seoul","1","1號線","137","대방","大方","Daebang","37.51334","126.92638","대방"
"seoul","1","1號線","138","신길","新吉","Singil","37.51712","126.91717","신길"
"seoul","1","1號線","139","영등포","永登浦","Yeongdeungpo","37.5155","126.90763","영등포"
"seoul","1","1號線","140","신도림","新道林","Sindorim","37.50872","126.89129","신도림"
"seoul","1","1號線","141","구로","九老","Guro","37.50304","126.88197","구로"
"seoul","1","1號線","142","구일","九一","Guil","37.49676","126.87079","구일"
"seoul","1","1號線","143","개봉","開峰","Gaebong","37.49459","126.85868","개봉"
"seoul","1","1號線","144","오류동","梧柳洞","Oryudong","37.49453","126.84537","오류동"
"seoul","1","1號線","145","온수","溫水","Onsu","37.49226","126.82339","온수"
"seoul","1","1號線","146","역곡","驛谷","Yeokgok","37.48518","126.8115","역곡"
"seoul","1","1號線","147","소사","素砂","Sosa","37.48275","126.79544","소사"
"seoul","1","1號線","148","부천","富川","Bucheon","37.48405","126.78269","부천"
"seoul","1","1號線","149","중동","中洞","Jungdong","37.48656","126.76484","중동"
"seoul","1","1號線","150","송내","松內","Songnae","37.4876","126.75366","송내"
"seoul","1","1號線","151","부개","富開","Bugae","37.4883","126.741","부개"
"seoul","1","1號線","152","부평","富平","Bupyeong","37.4894","126.7245","부평"
"seoul","1","1號線","153","백운","白雲","Baegun","37.4835","126.7072","백운"
"seoul","1","1號線","154","동암","銅岩","Dongam","37.4714","126.7029","동암"
"seoul","1","1號線","155","간석","間石","Ganseok","37.4646","126.6947","간석"
"seoul","1","1號線","156","주안","朱安","Juan","37.4649","126.6803","주안"
"seoul","1","1號線","157","도화","道禾","Dohwa","37.4662","126.6687","도화"
"seoul","1","1號線","158","제물포","濟物浦","Jemulpo","37.4622","126.6571","제물포"
"seoul","1","1號線","159","도원","桃源","Dowon","37.4683","126.6425","도원"
"seoul","1","1號線","160","동인천","東仁川","Dongincheon","37.4753","126.632","동인천"
"seoul","1","1號線","161","인천","仁川","Incheon","37.4767","126.6169","인천"
"seoul","2","2號線","201","시청","市廳","Sicheong","37.56472","126.97711","시청"
"seoul","2","2號線","202","을지로입구","乙支路入口","Euljiroipgu","37.56601","126.98262","을지로입구"
"seoul","2","2號線","203","을지로3가","乙支路3街","Euljiro 3-ga","37.56629","126.99191","을지로3가"
"seoul","2","2號線","204","을지로4가","乙支路4街","Euljiro 4-ga","37.56694","126.99808","을지로4가"
"seoul","2","2號線","205","동대문역사문화공원","東大門歷史文化公園","Dongdaemun Yeoksa Munhwa Gongwon","37.56514","127.0079","동대문역사문화공원"
"seoul","2","2號線","206","신당","新堂","Sindang","37.56597","127.01782","신당"
"seoul","2","2號線","207","상왕십리","上往十里","Sangwangsimni","37.56435","127.02935","상왕십리"
"seoul","2","2號線","208","왕십리","往十里","Wangsimni","37.56153","127.03773","왕십리"
"seoul","2","2號線","209","한양대","漢陽大","Hanyangdae","37.55527","127.04366","한양대"
"seoul","2","2號線","210","뚝섬","纛島","Ttukseom","37.54718","127.04737","뚝섬"
"seoul","2","2號線","211","성수","聖水","Seongsu","37.54458","127.05596","성수"
"seoul","2","2號線","212","건대입구","建大入口","Geondaeipgu","37.54069","127.07023","건대입구"
