路線,車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,漣川开始 累積距離,所在地,所在地.1
京元線,100-3,漣川,연천,Yeoncheon,京元線,-,0.0,京畿道,漣川郡
京元線,100-2,全谷,전곡,Jeongok,,8.7,8.7,京畿道,漣川郡
京元線,100-1,青山,청산,Cheongsan,,3.3,12.0,京畿道,漣川郡
京元線,100,逍遙山,소요산,Soyosan,,5.8,17.8,京畿道,東豆川市
京元線,101,東豆川,동두천,Dongducheon,,2.5,20.3,京畿道,東豆川市
京元線,102,保山,보산,Bosan,,1.6,21.9,京畿道,東豆川市
京元線,103,東豆川中央,동두천중앙,Dongducheonjungang,,1.4,23.3,京畿道,東豆川市
京元線,104,紙杏,지행,Jihaeng,,1.0,24.3,京畿道,東豆川市
京元線,105,德亭,덕정,Deokjeong,,5.6,29.9,京畿道,楊州市
京元線,106,德溪,덕계,Deokgye,,2.9,32.8,京畿道,楊州市
京元線,107,楊州,양주,Yangju,,5.3,38.1,京畿道,楊州市
京元線,108,綠楊,녹양,Nogyang,,1.6,39.7,京畿道,議政府市
京元線,109,佳陵,가능,Ganeung,,1.3,41.0,京畿道,議政府市
京元線,110,議政府,의정부,Uijeongbu,,1.2,42.2,京畿道,議政府市
京元線,111,回龍,회룡,Hoeryong,● 議政府輕電鐵,1.6,43.8,京畿道,議政府市
京元線,112,望月寺,망월사,Mangwolsa,,1.4,45.2,京畿道,議政府市
京元線,113,道峰山,도봉산,Dobongsan,● 首爾地鐵7號線,2.3,47.5,首爾特別市,道峰區
京元線,114,道峰,도봉,Dobong,,1.2,48.7,首爾特別市,道峰區
京元線,115,放鶴,방학,Banghak,,1.3,50.0,首爾特別市,道峰區
京元線,116,倉洞,창동,Chang-dong,● 首都圈电铁4号线,1.7,51.7,首爾特別市,道峰區
京元線,117,鹿川,녹천,Nokcheon,,1.0,52.7,首爾特別市,道峰區
京元線,118,月溪 （仁德大學）,월계 （인덕대학）,Wolgye （Induk Univ.）,,1.4,54.1,首爾特別市,蘆原區
京元線,119,光云大學,광운대,Kwangwoon Univ.,● 首都圈電鐵京春線,1.1,55.2,首爾特別市,蘆原區
京元線,120,石溪,석계,Seokgye,● 首尔地铁6号线,1.1,56.3,首爾特別市,蘆原區
京元線,121,新里門,신이문,Sinimun,,1.4,57.7,首爾特別市,東大門區
京元線,122,韓國外國語大學,외대앞,Hankuk Univ. of Foreign Studies,,0.8,58.5,首爾特別市,東大門區
京元線,123,回基,회기,Hoegi,● 首都圈電鐵京義·中央線 ● 首都圈電鐵京春線,0.8,59.3,首爾特別市,東大門區
