路線,車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,漣川开始 累積距離,所在地,所在地.1,備註
京釜線,141,九老,구로,Guro,京仁線,1.1,80.2,首爾特別市,九老區,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P142,加山數碼園區,가산디지털단지 （마리오 아울렛）,Gasan Digital Complex （Mario Outlet）,● 首爾地鐵7號線,2.4,82.6,首爾特別市,衿川區,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P143,禿山,독산,Doksan,,2.0,84.6,首爾特別市,衿川區,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P144,衿川區廳,금천구청,Geumcheon-gu Office,京釜高速線,1.2,85.8,首爾特別市,衿川區,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P145,石水,석수,Seoksu,,2.3,88.1,京畿道,安養市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P146,冠岳,관악,Gwanak,,1.9,90.0,京畿道,安養市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P147,安養,안양,Anyang,,2.4,92.4,京畿道,安養市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P148,鳴鶴,명학,Myeonghak,,2.2,94.6,京畿道,安養市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P149,衿井,금정,Geumjeong,● 首都圈电铁4号线,1.4,96.0,京畿道,軍浦市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P150,軍浦,군포,Gunpo,,2.2,98.2,京畿道,軍浦市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P151,堂井,당정,Dangjeong,,1.6,99.8,京畿道,軍浦市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P152,義王,의왕,Uiwang,,2.6,102.4,京畿道,義王市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P153,成均館大學,성균관대,Sungkyunkwan Univ.,,2.9,105.3,京畿道,水原市 長安區,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P154,華西,화서,Hwaseo,,2.6,107.9,京畿道,水原市 八達區,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P155,水原,수원,Suwon,● 首都圈電鐵水仁·盆唐線,2.1,110.0,京畿道,水原市 八達區,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P156,細柳,세류,Seryu,,2.9,112.9,京畿道,水原市 勸善區,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P157,餅店,병점,Byeongjeom,饼店基地线,4.3,117.2,京畿道,華城市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P158,洗馬,세마,Sema,,2.4,119.6,京畿道,烏山市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P159,烏山大學,오산대,Osan College,,2.7,122.3,京畿道,烏山市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P160,烏山,오산,Osan,,2.7,125.0,京畿道,烏山市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P161,振威,진위,Jinwi,,4.0,129.0,京畿道,平澤市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P162,松炭,송탄,Songtan,,3.8,132.8,京畿道,平澤市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P163,西井里,서정리,Seojeong-ri,,2.2,135.0,京畿道,平澤市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P164,平澤芝制,평택지제,Pyeongtaek Jije,水西平澤高速線,4.8,139.8,京畿道,平澤市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P165,平澤,평택,Pyeongtaek,,3.7,143.5,京畿道,平澤市,首都圈統合收費制（韓語：수도권 통합요금제）路段
京釜線,P166,成歡,성환,Seonghwan,,9.4,152.9,忠清南道,天安市 西北區,首都圈外路段
京釜線,P167,稷山,직산,Jiksan,,5.4,158.3,忠清南道,天安市 西北區,首都圈外路段
京釜線,P168,斗井,두정,Dujeong,,3.8,162.1,忠清南道,天安市 西北區,首都圈外路段
長項線,P169,天安,천안,Cheonan,京釜線,3.0,165.1,忠清南道,天安市 東南區,首都圈外路段
長項線,P170,鳳鳴,봉명,Bongmyeong,,1.5,166.6,忠清南道,天安市 東南區,首都圈外路段
長項線,P171,雙龍 （拿撒勒大學）,쌍용 （나사렛대）,Ssangyong （Korea Nazarene Univ.）,,1.5,168.1,忠清南道,天安市 西北區,首都圈外路段
長項線,P172,牙山,아산,Asan,京釜高速線（天安牙山）,1.5,169.6,忠清南道,牙山市,首都圈外路段
長項線,P173,湯井,탕정,Tangjeong,,1.8,171.4,忠清南道,牙山市,首都圈外路段
長項線,P174,排芳,배방,Baebang,,3.1,174.5,忠清南道,牙山市,首都圈外路段
長項線,P176,溫陽溫泉,온양온천,Onyangoncheon,,4.9,179.4,忠清南道,牙山市,首都圈外路段
長項線,P177,新昌 （順天鄉大學）,신창 （순천향대）,Sinchang （Soonchunhyang Univ.）,長項線,5.1,184.5,忠清南道,牙山市,首都圈外路段
