車站編號 / ↑ 往忠正路站方向,中文站名 / ↑ 往忠正路站方向,韓文站名 / ↑ 往忠正路站方向,英文站名 / ↑ 往忠正路站方向,接續路線 / ↑ 往忠正路站方向,站間距離 / ↑ 往忠正路站方向,累積距離 / ↑ 往忠正路站方向,所在地 / ↑ 往忠正路站方向,所在地 / ↑ 往忠正路站方向.1,
201,市廳,시청,City Hall,● 首都圈電鐵1號線,0.0,0.0,首爾特別市,中區,
202,乙支路入口,을지로입구 （하나은행）,Euljiro 1(il)-ga （Hana Bank）,,0.7,0.7,首爾特別市,中區,
203,乙支路三街,을지로3가 （신한카드）,Euljiro 3(sam)-ga （Shinhan-Card）,● 首都圈電鐵3號線,0.8,1.5,首爾特別市,中區,
204,乙支路四街,을지로4가 （BC카드）,Euljiro 4(sa)-ga （BC Card）,● 首都圈電鐵5號線,0.6,2.1,首爾特別市,中區,
205,東大門歷史文化公園 （DDP）,동대문역사문화공원 （DDP）,Dongdaemun History & Culture Park （DDP）,● 首都圈电铁4号线 ● 首都圈電鐵5號線,1.0,3.1,首爾特別市,中區,
206,新堂,신당,Sindang,● 首尔地铁6号线,0.9,4.0,首爾特別市,中區,
207,上往十里,상왕십리,Sangwangsimni,,0.9,4.9,首爾特別市,城東區,
208,往十里 （城東區廳）,왕십리 （성동구청）,Wangsimni （Seongdong-Gu Office）,● 首都圈電鐵5號線 ● 首都圈電鐵京義·中央線 ● 首都圈電鐵水仁·盆唐線,0.8,5.7,首爾特別市,城東區,
209,漢陽大學,한양대,Hanyang Univ.,,1.0,6.7,首爾特別市,城東區,
210,纛島,뚝섬,Ttukseom,,1.1,7.8,首爾特別市,城東區,
211,聖水,성수,Seongsu,● 首爾地鐵2號線聖水支線,0.8,8.6,首爾特別市,城東區,
212,建國大學,건대입구,Konkuk Univ.,● 首爾地鐵7號線,1.2,9.8,首爾特別市,廣津區,
213,九宜 （廣津區廳）,구의 （광진구청）,Guui （Gwangjin-gu Office）,,1.6,11.4,首爾特別市,廣津區,
214,江邊 （東首爾客運站）,강변 （동서울터미널）,Gangbyeon （Dongseoul Bus Terminal）,,0.9,12.3,首爾特別市,廣津區,
215,蠶室渡口,잠실나루 （수협중앙회공제보험）,Jamsillaru （Suhyup Insurance）,,1.8,14.1,首爾特別市,松坡區,
216,蠶室  （松坡區廳）,잠실 （송파구청）,Jamsil （Songpa-gu Office）,● 首都圈電鐵8號線,1.0,15.1,首爾特別市,松坡區,
217,蠶室新川,잠실새내,Jamsilsaenae,,1.2,16.3,首爾特別市,松坡區,
218,綜合運動場,종합운동장,Sports Complex,● 首爾地鐵9號線,1.2,17.5,首爾特別市,松坡區,
219,三成 （會展中心）,삼성 （무역센터）,Samseong （World Trade Center Seoul）,,1.0,18.5,首爾特別市,江南區,
220,宣陵,선릉 （애큐온저축은행）,Seolleung （Acuon Savings Bank）,● 首都圈電鐵水仁·盆唐線,1.3,19.8,首爾特別市,江南區,
221,驛三,역삼 （센터필드）,Yeoksam （Centerfield）,,1.2,21.0,首爾特別市,江南區,
222,江南,강남,Gangnam,● 新盆唐線,0.8,21.8,首爾特別市,江南區,
223,首爾教育大學 （法院·檢察廳）,교대 （법원·검찰청）,Seoul Nat'l Univ. of Education （Court & Public Prosecutors' Office）,● 首都圈電鐵3號線,1.2,23.0,首爾特別市,瑞草區,
224,瑞草,서초,Seocho,,0.7,23.7,首爾特別市,瑞草區,
225,方背 （白石藝術大學）,방배 （백석예술대）,Bangbae （Baekseok Arts Univ.）,,1.7,25.4,首爾特別市,瑞草區,
226,舍堂 （大肛醫院）,사당 （대항병원）,Sadang （Daehang Hospital）,● 首都圈电铁4号线,1.6,27.0,首爾特別市,冠岳區,
