路線,車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,累積距離,所在地,所在地.1,Unnamed: 10
一山線,309,大化,대화,Daehwa,,0.0,0.0,京畿道,高陽市 一山西區,
一山線,310,注葉,주엽,Juyeop,,1.4,1.4,京畿道,高陽市 一山西區,
一山線,311,鼎鉢山,정발산 （고양아람누리）,Jeongbalsan （Goyang AramNuri）,,1.6,3.0,京畿道,高陽市 一山東區,
一山線,312,馬頭,마두,Madu,,0.9,3.9,京畿道,高陽市 一山東區,
一山線,313,白石 （健康保險一山醫院）,백석 （건강보험일산병원）,Baekseok （Nat'l Health Insurance Service Ilsan Hospital）,,1.4,5.3,京畿道,高陽市 一山東區,
一山線,314,大谷,대곡,Daegok,● 首都圈電鐵京義·中央線 ● 首都圈電鐵西海線 郊外线 ● 首都圈廣域急行鐵道A路線,2.5,7.8,京畿道,高陽市 德陽區,
一山線,315,花井,화정,Hwajeong,,2.1,9.9,京畿道,高陽市 德陽區,
一山線,316,元堂,원당,Wondang,,2.6,12.5,京畿道,高陽市 德陽區,
一山線,317,元興,원흥,Wonheung,,2.9,15.4,京畿道,高陽市 德陽區,
一山線,318,三松,삼송,Samsong,,2.1,17.5,京畿道,高陽市 德陽區,
一山線,319,紙杻,지축,Jichuk,,1.7,19.2,京畿道,高陽市 德陽區,
首爾地鐵3號線,319,紙杻,지축,Jichuk,,1.7,19.2,京畿道,高陽市 德陽區,
首爾地鐵3號線,320,舊把撥 （恩平聖母醫院）,구파발 （은평성모병원）,Gupabal （Eunpyeong St. Mary's Hospital）,,1.5,20.7,首爾特別市,恩平區,恩平區
首爾地鐵3號線,321,延新川,연신내,Yeonsinnae,● 首尔地铁6号线 ● 首都圈廣域急行鐵道A路線,2.0,22.7,首爾特別市,恩平區,恩平區
首爾地鐵3號線,322,佛光,불광,Bulgwang,● 首尔地铁6号线,1.3,24.0,首爾特別市,恩平區,恩平區
首爾地鐵3號線,323,碌磻,녹번,Nokbeon,,1.1,25.1,首爾特別市,恩平區,恩平區
首爾地鐵3號線,324,弘濟 （首爾文化藝術大學）,홍제 （서울문화예술대）,Hongje （Seoul Culture Arts Univ.）,,1.6,26.7,首爾特別市,西大門區,西大門區
首爾地鐵3號線,325,毋岳嶺,무악재,Muakjae,,0.9,27.6,首爾特別市,西大門區,西大門區
首爾地鐵3號線,326,獨立門,독립문,Dongnimmun,,1.1,28.7,首爾特別市,西大門區,西大門區
首爾地鐵3號線,327,景福宮 （政府首爾廳舍）,경복궁 （정부서울청사）,Gyeongbokgung （Government Complex-Seoul）,,1.6,30.3,首爾特別市,鐘路區,鐘路區
首爾地鐵3號線,328,安國 （現代建設）,안국 （현대건설）,Anguk （Hyundai E&C）,,1.1,31.4,首爾特別市,鐘路區,鐘路區
首爾地鐵3號線,329,鐘路三街,종로3가,Jongno 3(sam)-ga,● 首都圈電鐵1號線 ● 首都圈電鐵5號線,1.0,32.4,首爾特別市,鐘路區,鐘路區
首爾地鐵3號線,330,乙支路三街,을지로3가 （신한카드）,Euljiro 3(sam)-ga （Shinhan-Card）,● 首爾地鐵2號線,0.6,33.0,首爾特別市,中區,中區
首爾地鐵3號線,331,忠武路,충무로,Chungmuro,● 首都圈电铁4号线,0.7,33.7,首爾特別市,中區,中區
首爾地鐵3號線,332,東國大學,동대입구,Dongguk Univ.,,0.9,34.6,首爾特別市,中區,中區
首爾地鐵3號線,333,藥水,약수,Yaksu,● 首尔地铁6号线,0.7,35.3,首爾特別市,中區,中區
首爾地鐵3號線,334,金湖,금호,Geumho,,0.8,36.1,首爾特別市,城東區,城東區
首爾地鐵3號線,335,玉水,옥수,Oksu,● 首都圈電鐵京義·中央線,0.8,36.9,首爾特別市,城東區,城東區
首爾地鐵3號線,336,狎鷗亭 （現代百貨店）,압구정 （현대백화점）,Apgujeong （Hyundai Department Store）,,2.1,39.0,首爾特別市,江南區,江南區
首爾地鐵3號線,337,新沙,신사,Sinsa,● 新盆唐線,1.5,40.5,首爾特別市,江南區,江南區
首爾地鐵3號線,338,蠶院,잠원,Jamwon,,0.9,41.4,首爾特別市,瑞草區,瑞草區
首爾地鐵3號線,339,高速巴士客运站,고속터미널,Express Bus Terminal,● 首爾地鐵7號線 ● 首爾地鐵9號線,1.2,42.6,首爾特別市,瑞草區,瑞草區
首爾地鐵3號線,340,首爾教育大學 （法院·檢察廳）,교대 （법원·검찰청）,Seoul Nat'l Univ. of Education （Court & Public Prosecutors' Office）,● 首爾地鐵2號線,1.6,44.2,首爾特別市,瑞草區,瑞草區
首爾地鐵3號線,341,南部客運站 （藝術之天堂）,남부터미널 （예술의전당）,Nambu Bus Terminal （Seoul Arts Center）,,0.9,45.1,首爾特別市,瑞草區,瑞草區
首爾地鐵3號線,342,良才 （瑞草區廳）,양재 （서초구청）,Yangjae （Seocho-gu Office）,● 新盆唐線,1.8,46.9,首爾特別市,瑞草區,瑞草區
首爾地鐵3號線,343,梅峰,매봉,Maebong,,1.2,48.1,首爾特別市,江南區,江南區
首爾地鐵3號線,344,道谷,도곡,Dogok,● 首都圈電鐵水仁·盆唐線,0.8,48.9,首爾特別市,江南區,江南區
首爾地鐵3號線,345,大峙,대치,Daechi,,0.8,49.7,首爾特別市,江南區,江南區
首爾地鐵3號線,346,鶴灘,학여울,Hangnyeoul,,0.8,50.5,首爾特別市,江南區,江南區
首爾地鐵3號線,347,大廳 （首爾住宅都市公社）,대청 （서울주택도시공사）,Daecheong （SH Corporation）,,0.9,51.4,首爾特別市,江南區,江南區
首爾地鐵3號線,348,逸院,일원,Irwon,,1.2,52.6,首爾特別市,江南區,江南區
