路線,車站編號,中文站名,韓文站名,英文站名,急行,接續路線,接續路線.1,接續路線.2,站間距離,營業距離,所在地,所在地.1
榛接線,405,榛接,진접,Jinjeop,急行列車停靠全部車站,,,,-,0.0,京畿道,南楊州市
榛接線,406,梧南,오남,Onam,急行列車停靠全部車站,,,,2.1,2.1,京畿道,南楊州市
榛接線,408,別內星江,별내별가람,Byeollae Byeolgaram,急行列車停靠全部車站,,,,7.7,9.8,京畿道,南楊州市
首爾地鐵4號線,409,佛巖山,불암산,Bulamsan,急行列車停靠全部車站,,,,4.4,14.2,首爾特別市,蘆原區
首爾地鐵4號線,410,上溪,상계,Sanggye,急行列車停靠全部車站,,,,1.2,15.4,首爾特別市,蘆原區
首爾地鐵4號線,411,蘆原,노원,Nowon,急行列車停靠全部車站,● 首爾地鐵7號線,● 首爾地鐵7號線,● 首爾地鐵7號線,1.0,16.4,首爾特別市,蘆原區
首爾地鐵4號線,412,倉洞,창동,Chang-dong,急行列車停靠全部車站,● 首都圈電鐵1號線,● 首都圈電鐵1號線,● 首都圈電鐵1號線,1.4,17.8,首爾特別市,道峰區
首爾地鐵4號線,413,雙門,쌍문,Ssangmun,急行列車停靠全部車站,,,,1.3,19.1,首爾特別市,道峰區
首爾地鐵4號線,414,水踰 （江北區廳）,수유 （강북구청）,Suyu （Gangbuk-gu Office）,急行列車停靠全部車站,,,,1.5,20.6,首爾特別市,江北區
首爾地鐵4號線,415,彌阿 （首爾網路大學）,미아 （서울사이버대학）,Mia （Seoul Cyber Univ.）,急行列車停靠全部車站,,,,1.4,22.0,首爾特別市,江北區
首爾地鐵4號線,416,彌阿十字路口,미아사거리,Miasageori,急行列車停靠全部車站,,,,1.5,23.5,首爾特別市,江北區
首爾地鐵4號線,417,吉音,길음,Gireum,急行列車停靠全部車站,,,,1.3,24.8,首爾特別市,城北區
首爾地鐵4號線,418,誠信女子大學 （敦岩）,성신여대입구 （돈암）,Sungshin Women's Univ. （Donam）,急行列車停靠全部車站,● 首爾輕電鐵牛耳新設線,● 首爾輕電鐵牛耳新設線,● 首爾輕電鐵牛耳新設線,1.4,26.2,首爾特別市,城北區
首爾地鐵4號線,419,漢城大學 （三仙橋）,한성대입구 （삼선교）,Hansung Univ. （Samseongyo）,急行列車停靠全部車站,,,,1.0,27.2,首爾特別市,城北區
首爾地鐵4號線,420,惠化 （首爾大學醫院）,혜화 （서울대학교병원）,Hyehwa （Seoul Nat'l Univ. Hospital）,急行列車停靠全部車站,,,,0.9,28.1,首爾特別市,鐘路區
首爾地鐵4號線,421,東大門,동대문,Dongdaemun,急行列車停靠全部車站,● 首都圈電鐵1號線,● 首都圈電鐵1號線,● 首都圈電鐵1號線,1.5,29.6,首爾特別市,鐘路區
首爾地鐵4號線,422,東大門歷史文化公園 （DDP）,동대문역사문화공원 （DDP）,Dongdaemun History & Culture Park （DDP）,急行列車停靠全部車站,● 首爾地鐵2號線 ● 首都圈電鐵5號線,● 首爾地鐵2號線 ● 首都圈電鐵5號線,● 首爾地鐵2號線 ● 首都圈電鐵5號線,0.7,30.3,首爾特別市,中區
首爾地鐵4號線,423,忠武路,충무로,Chungmuro,急行列車停靠全部車站,● 首都圈電鐵3號線,● 首都圈電鐵3號線,● 首都圈電鐵3號線,1.3,31.6,首爾特別市,中區
首爾地鐵4號線,424,明洞 （友利金融城）,명동 （우리금융타운）,Myeong-dong （Woori Financial Town）,急行列車停靠全部車站,,,,0.7,32.3,首爾特別市,中區
首爾地鐵4號線,425,會賢 （南大門市場）,회현 （남대문시장）,Hoehyeon （Namdaemun Market）,急行列車停靠全部車站,,,,0.7,33.0,首爾特別市,中區
首爾地鐵4號線,426,首爾站,서울역,Seoul Station,急行列車停靠全部車站,● 首都圈電鐵1號線 ● 仁川國際機場鐵道 ● 首都圈電鐵京義·中央線 ● 首都圈廣域急行鐵道A路線,● 首都圈電鐵1號線 ● 仁川國際機場鐵道 ● 首都圈電鐵京義·中央線 ● 首都圈廣域急行鐵道A路線,● 首都圈電鐵1號線 ● 仁川國際機場鐵道 ● 首都圈電鐵京義·中央線 ● 首都圈廣域急行鐵道A路線,0.9,33.9,首爾特別市,龍山區
首爾地鐵4號線,427,淑明女子大學 （葛月）,숙대입구 （갈월）,Sookmyung Women's Univ. （Garwol）,急行列車停靠全部車站,,,,1.0,34.9,首爾特別市,龍山區
首爾地鐵4號線,428,三角地,삼각지,Samgakji,急行列車停靠全部車站,● 首尔地铁6号线,● 首尔地铁6号线,● 首尔地铁6号线,1.2,36.1,首爾特別市,龍山區
首爾地鐵4號線,429,新龍山 （愛茉莉太平洋）,신용산 （아모레퍼시픽）,Sinyongsan （AMOREPACIFIC）,急行列車停靠全部車站,,,,0.7,36.8,首爾特別市,龍山區
首爾地鐵4號線,430,二村 （國立中央博物館）,이촌 （국립중앙박물관）,Ichon （National Museum of Korea）,急行列車停靠全部車站,● 首都圈電鐵京義·中央線,● 首都圈電鐵京義·中央線,● 首都圈電鐵京義·中央線,1.3,38.1,首爾特別市,龍山區
首爾地鐵4號線,431,銅雀 （顯忠院）,동작 （현충원）,Dongjak （Seoul National Cemetery）,急行列車停靠全部車站,● 首爾地鐵9號線,● 首爾地鐵9號線,● 首爾地鐵9號線,2.7,40.8,首爾特別市,銅雀區
首爾地鐵4號線,432,總神大學 （梨水）,총신대입구 （이수）,Chongsin Univ. （Isu）,急行列車停靠全部車站,● 首爾地鐵7號線,● 首爾地鐵7號線,● 首爾地鐵7號線,1.8,42.6,首爾特別市,銅雀區
首爾地鐵4號線,433,舍堂 （大肛醫院）,사당 （대항병원）,Sadang （Daehang Hospital）,急行列車停靠全部車站,● 首爾地鐵2號線,● 首爾地鐵2號線,● 首爾地鐵2號線,1.1,43.7,首爾特別市,銅雀區
首爾地鐵4號線,434,南泰嶺,남태령,Namtaeryeong,急行列車停靠全部車站,,,,1.6,45.3,首爾特別市,瑞草區
果川線,435,立岩,선바위,Seonbawi,急行列車停靠全部車站,,,,2.0,47.3,京畿道,果川市
果川線,436,賽馬公園,경마공원,Seoul Racecourse Park,急行列車停靠全部車站,,,,1.0,48.3,京畿道,果川市
果川線,437,首爾大公園 （首爾樂園）,대공원 （서울랜드）,Seoul Grand Park （Seoul Land）,急行列車停靠全部車站,,,,0.9,49.2,京畿道,果川市
果川線,438,果川,과천,Gwacheon,急行列車停靠全部車站,,,,1.0,50.2,京畿道,果川市
果川線,439,政府果川廳舍,정부과천청사,Government Complex Gwacheon,急行列車停靠全部車站,,,,1.0,51.2,京畿道,果川市
果川線,440,仁德院,인덕원,Indeogwon,急行列車停靠全部車站,,,,3.0,54.2,京畿道,安養市
果川線,441,坪村 （翰林大學聖心醫院）,평촌 （한림대성심병원）,Pyeongchon （Hallym Univ.Sacred Heart Hospital）,急行列車停靠全部車站,,,,1.6,55.8,京畿道,安養市
果川線,442,凡溪,범계,Beomgye,急行列車停靠全部車站,,,,1.3,57.1,京畿道,安養市
