車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,營業距離,所在地,所在地.1
510,傍花,방화,Banghwa,,0.0,0.0,首爾特別市,江西區
511,開花山,개화산,Gaehwasan,,0.9,0.9,首爾特別市,江西區
512,金浦機場,김포공항,Gimpo Int'l Airport,● 首爾地鐵9號線 ● 仁川國際機場鐵道 ● 金浦都市鐵道,1.2,2.1,首爾特別市,江西區
513,松亭,송정,Songjeong,,1.2,3.3,首爾特別市,江西區
514,麻谷,마곡 （홈앤쇼핑）,Magok （Home & Shopping）,,1.1,4.4,首爾特別市,江西區
515,鉢山,발산,Balsan,,1.2,5.6,首爾特別市,江西區
516,雨裝山,우장산,Ujangsan,,1.1,6.7,首爾特別市,江西區
517,禾谷,화곡,Hwagok,,1.0,7.7,首爾特別市,江西區
518,喜鵲山,까치산,Kkachisan,● 首爾地鐵2號線新亭支線,1.2,8.9,首爾特別市,江西區
519,新亭 （銀杏亭）,신정 （은행정）,Sinjeong （Eunhaengjeong）,,1.3,10.2,首爾特別市,陽川區
520,木洞,목동,Mok-dong,,0.8,11.0,首爾特別市,陽川區
521,梧木橋 （木洞運動場）,오목교 （목동운동장앞）,Omokgyo （Mokdong Stadium）,,0.9,11.9,首爾特別市,陽川區
522,楊坪,양평,Yangpyeong,,1.1,13.0,首爾特別市,永登浦區
523,永登浦區廳,영등포구청,Yeongdeungpo-gu Office,● 首爾地鐵2號線,0.8,13.8,首爾特別市,永登浦區
524,永登浦市場,영등포시장,Yeongdeungpo Market,,0.9,14.7,首爾特別市,永登浦區
525,新吉,신길,Singil,● 首都圈電鐵1號線,1.1,15.8,首爾特別市,永登浦區
526,汝矣島,여의도,Yeouido,● 首爾地鐵9號線,1.0,16.8,首爾特別市,永登浦區
527,汝矣渡口,여의나루,Yeouinaru,,1.0,17.8,首爾特別市,永登浦區
528,麻浦,마포,Mapo,,1.8,19.6,首爾特別市,麻浦區
529,孔德,공덕,Gongdeok,● 首尔地铁6号线 ● 仁川國際機場鐵道 ● 首都圈電鐵京義·中央線,0.8,20.4,首爾特別市,麻浦區
530,兒嶺,애오개,Aeogae,,1.1,21.5,首爾特別市,麻浦區
531,忠正路 （京畿大學）,충정로 （경기대입구）,Chungjeongno （Kyonggi Univ.）,● 首爾地鐵2號線,0.9,22.4,首爾特別市,西大門區
532,西大門,서대문 （강북삼성병원）,Seodaemun （Kangbuk Samsung Hospital）,,0.7,23.1,首爾特別市,鐘路區
533,光化門 （世宗文化會館）,광화문 （세종문화회관）,Gwanghwamun （Sejong Center for the Performing Arts）,,1.1,24.2,首爾特別市,鐘路區
534,鐘路三街,종로3가 （탑골공원）,Jongno 3(sam)-ga （Tapgol Park）,● 首都圈電鐵1號線 ● 首都圈電鐵3號線,1.2,25.4,首爾特別市,鐘路區
535,乙支路四街,을지로4가 （BC카드）,Euljiro 4(sa)-ga （BC Card）,● 首爾地鐵2號線,1.0,26.4,首爾特別市,中區
536,東大門歷史文化公園 （DDP）,동대문역사문화공원 （DDP）,Dongdaemun History & Culture Park （DDP）,● 首爾地鐵2號線 ● 首都圈电铁4号线,0.9,27.3,首爾特別市,中區
537,青丘,청구,Cheonggu,● 首尔地铁6号线,0.9,28.2,首爾特別市,中區
538,新金湖,신금호,Singeumho,,0.9,29.1,首爾特別市,城東區
539,杏堂,행당,Haengdang,,0.8,29.9,首爾特別市,城東區
540,往十里 （城東區廳）,왕십리 （성동구청）,Wangsimni （SeongDong-Gu Office）,● 首爾地鐵2號線 ● 首都圈電鐵京義·中央線 ● 首都圈電鐵水仁·盆唐線,0.9,30.8,首爾特別市,城東區
541,馬場,마장,Majang,,0.7,31.5,首爾特別市,城東區
542,踏十里,답십리,Dapsimni,,1.0,32.5,首爾特別市,東大門區
543,長漢坪,장한평,Janghanpyeong,,1.2,33.7,首爾特別市,東大門區
544,君子 （陵洞）,군자 （능동）,Gunja （Neung-dong）,● 首爾地鐵7號線,1.5,35.2,首爾特別市,廣津區
545,峨嵯山 （兒童大公園後門）,아차산 （어린이대공원후문）,Achasan （Rear Entrance to Seoul Children's Grand Park）,,1.0,36.2,首爾特別市,廣津區
546,廣渡口 （長神大學）,광나루 （장신대）,Gangnaru （Presbyterian. University & Theological Seminary）,,1.5,37.7,首爾特別市,廣津區
547,千戶 （風納土城）,천호 （풍납토성）,Cheonho （Pungnaptoseong）,● 首都圈電鐵8號線,2.0,39.7,首爾特別市,江東區
548,江東,강동,Gangdong,● 首都圈電鐵5號線馬川支線,0.8,40.5,首爾特別市,江東區
549,吉洞,길동,Gil-dong,,0.9,41.4,首爾特別市,江東區
550,曲橋 （江東區民會館）,굽은다리 （강동구민회관앞）,Gubeundari （Gangdong Community Center）,,0.8,42.2,首爾特別市,江東區
551,明逸,명일,Myeongil,,0.7,42.9,首爾特別市,江東區
552,高德,고덕 （강동경희대병원）,Godeok （Kyung Hee Univ. Hospital at Gangdong）,,1.2,44.1,首爾特別市,江東區
553,上一洞,상일동,Sangil-dong,,1.1,45.2,首爾特別市,江東區
↓ 與河南線直通運行,↓ 與河南線直通運行,↓ 與河南線直通運行,↓ 與河南線直通運行,↓ 與河南線直通運行,↓ 與河南線直通運行,↓ 與河南線直通運行,↓ 與河南線直通運行,↓ 與河南線直通運行
