車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,累積距離,所在地,所在地.1
709,長岩,장암,Jangam,,-,0.0,京畿道,議政府市
710,道峰山,도봉산,Dobongsan,● 首都圈電鐵1號線,1.4,1.4,首爾特別市,道峰區
711,水落山,수락산,Suraksan,,1.6,3.0,首爾特別市,蘆原區
712,馬得,마들,Madeul,,1.4,4.4,首爾特別市,蘆原區
713,蘆原,노원,Nowon,● 首都圈电铁4号线,1.2,5.6,首爾特別市,蘆原區
714,中溪 （韓國聖書大學）,중계 （한국성서대）,Junggye （Korean Bible Univ.）,,1.1,6.7,首爾特別市,蘆原區
715,下溪 （乙支大乙支醫院）,하계 （을지대 을지병원）,Hagye （Eulji Medical Center）,,1.0,7.7,首爾特別市,蘆原區
716,孔陵 （首爾科學技術大學）,공릉 （서울과학기술대）,Gongneung （Seoul Nat'l Univ. of Science and Technology）,,1.3,9.0,首爾特別市,蘆原區
717,泰陵,태릉입구,Taereung,● 首尔地铁6号线,0.8,9.8,首爾特別市,蘆原區
718,墨谷,먹골,Meokgol,,0.9,10.7,首爾特別市,中浪區
719,中和,중화,Junghwa,,0.9,11.6,首爾特別市,中浪區
720,上鳳 （市外巴士客運站）,상봉 （시외버스터미널）,Sangbong （Intercity Bus Terminal）,● 首都圈電鐵京義·中央線 ● 首都圈電鐵京春線,1.0,12.6,首爾特別市,中浪區
721,面牧 （瑞逸大學）,면목 （서일대입구）,Myeonmok （Seoil Univ.）,,0.8,13.4,首爾特別市,中浪區
722,四佳亭 （綠色醫院）,사가정 （녹색병원）,Sagajeong （Green Hospital）,,0.9,14.3,首爾特別市,中浪區
723,龍馬山 （龍馬瀑布公園）,용마산 （용마폭포공원）,Yongmasan （Yongma Falls Park）,,0.8,15.1,首爾特別市,中浪區
724,中谷,중곡,Junggok,,0.9,16.0,首爾特別市,廣津區
725,君子 （陵洞）,군자 （능동）,Gunja （Neung-dong）,● 首都圈電鐵5號線,1.1,17.1,首爾特別市,廣津區
726,兒童大公園 （世宗大學）,어린이대공원 （세종대）,Children's Grand Park （Sejong Univ.）,,1.1,18.2,首爾特別市,廣津區
727,建國大學,건대입구,Konkuk Univ.,● 首爾地鐵2號線,0.8,19.0,首爾特別市,廣津區
728,紫陽 （纛島漢江公園）,자양 （뚝섬한강공원）,Jayang （Ttukseom Hangang Park）,,1.0,20.0,首爾特別市,廣津區
729,清潭 （第一骨科醫院）,청담 （제일정형외과병원）,Cheongdam （Cheil Orthopedic Hospital）,,2.0,22.0,首爾特別市,江南區
730,江南區廳,강남구청,Gangnam-gu Office,● 首都圈電鐵水仁·盆唐線,1.1,23.1,首爾特別市,江南區
731,鶴洞 （納諾醫院）,학동 （나누리병원）,Hak-dong （Nanoori Hospital）,,0.9,24.0,首爾特別市,江南區
