路線,車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,累積距離,所在地,所在地.1
別內線,804.0,別內,별내,Byeollae,● 首都圈電鐵京春線,-,0.0,京畿道,南楊州市
別內線,805.0,茶山（韓語：다산역 (남양주)）,다산,Dasan,,3.0,3.0,京畿道,南楊州市
別內線,806.0,東九陵（韓語：동구릉역）,동구릉,Donggureung,,1.8,4.8,京畿道,九里市
別內線,807.0,九里,구리,Guri,● 首都圈電鐵京義·中央線,1.2,6.0,京畿道,九里市
別內線,808.0,長者湖水公園（韓語：장자호수공원역）,장자호수공원,Jangja Lake Park,,1.8,7.8,京畿道,九里市
別內線,809.0,岩寺歷史公園（韓語：암사역사공원역）,암사역사공원,Amsa History Park,,3.5,11.3,首爾特別市,江東區
首爾地鐵8號線,810.0,岩寺,암사,Amsa,,1.1,12.5,首爾特別市,江東區
首爾地鐵8號線,811.0,千戶 （風納土城）,천호 （풍납토성）,Cheonho （Pungnaptoseong）,● 首都圈電鐵5號線,1.3,13.8,首爾特別市,江東區
首爾地鐵8號線,812.0,江東區廳,강동구청,Gangdong-gu Office,,0.9,14.7,首爾特別市,江東區
首爾地鐵8號線,813.0,夢村土城 （和平之門）,몽촌토성 （평화의문）,Mongchontoseong （World Peace Gate）,,1.6,16.3,首爾特別市,松坡區
首爾地鐵8號線,814.0,蠶室 （松坡區廳）,잠실 （송파구청）,Jamsil （Songpa-gu Office）,● 首爾地鐵2號線,0.8,17.1,首爾特別市,松坡區
首爾地鐵8號線,815.0,石村 （韓首醫院）,석촌 （한솔병원）,Seokchon （Hansol Hospital）,● 首爾地鐵9號線,1.2,18.3,首爾特別市,松坡區
首爾地鐵8號線,816.0,松坡,송파,Songpa,,0.9,19.2,首爾特別市,松坡區
首爾地鐵8號線,817.0,可樂市場,가락시장,Garak Market,● 首都圈電鐵3號線,0.8,20.0,首爾特別市,松坡區
首爾地鐵8號線,818.0,文井,문정,Munjeong,,0.9,20.9,首爾特別市,松坡區
首爾地鐵8號線,819.0,長旨,장지,Jangji,,0.9,21.8,首爾特別市,松坡區
首爾地鐵8號線,820.0,福井,복정,Bokjeong,● 首都圈電鐵水仁·盆唐線,0.9,22.7,首爾特別市,松坡區
首爾地鐵8號線,821.0,南慰禮,남위례,Namwirye,,1.6,24.3,京畿道,城南市 壽井區
首爾地鐵8號線,822.0,山城,산성,Sanseong,,1.1,25.4,京畿道,城南市 壽井區
首爾地鐵8號線,823.0,南漢山城 （城南法院·檢察廳）,남한산성입구 （성남법원·검찰청）,Namhansanseong （Seongnam Court & Public Prosecutors' Office）,,1.3,26.7,京畿道,城南市 壽井區
首爾地鐵8號線,824.0,丹岱五岔路口 （新丘大學）,단대오거리 （신구대학교）,Dandaeogeori （Shingu College）,,0.8,27.5,京畿道,城南市 壽井區
首爾地鐵8號線,825.0,新興,신흥,Sinheung,,0.8,28.3,京畿道,城南市 壽井區
首爾地鐵8號線,826.0,壽進,수진,Sujin,,0.9,29.2,京畿道,城南市 壽井區
首爾地鐵8號線,827.0,牡丹,모란,Moran,● 首都圈電鐵水仁·盆唐線,1.0,30.2,京畿道,城南市 壽井區
京畿道,,,,,,,,,
京畿道,,,,,,,,,
京畿道,,,,,,,,,
