車站編號,中文站名,韓文站名,英文站名,急行,接續路線,站間距離,累積距離,所在地,所在地.1
901,開花,개화,Gaehwa,未運行,,0.0,0.0,首爾特別市,江西區
902,金浦機場,김포공항,Gimpo Int'l Airport,●,● 首都圈電鐵5號線 ● 仁川國際機場鐵道 ● 金浦都市鐵道 ● 首都圈電鐵西海線,3.6,3.6,首爾特別市,江西區
903,機場市場,공항시장,Airport Market,│,,0.8,4.4,首爾特別市,江西區
904,新傍花,신방화,Sinbanghwa,│,,0.8,5.2,首爾特別市,江西區
905,麻谷渡口 （首爾植物園）,마곡나루 （서울식물원）,Magongnaru （Seoul Botanic Park）,●,● 仁川國際機場鐵道,0.9,6.1,首爾特別市,江西區
906,陽川鄉校,양천향교,Yangcheon Hyanggyo,│,,1.4,7.5,首爾特別市,江西區
907,加陽,가양,Gayang,●,,1.3,8.8,首爾特別市,江西區
908,曾米,증미,Jeungmi,│,,0.7,9.5,首爾特別市,江西區
909,登村,등촌,Deungchon,│,,1.0,10.5,首爾特別市,江西區
910,鹽倉,염창,Yeomchang,●,,0.9,11.4,首爾特別市,江西區
911,新木洞,신목동,Sinmokdong,│,,0.9,12.3,首爾特別市,陽川區
912,仙遊島,선유도,Seonyudo,│,,1.2,13.5,首爾特別市,永登浦區
913,堂山,당산,Dangsan,●,● 首爾地鐵2號線,1.0,14.5,首爾特別市,永登浦區
914,國會議事堂 （韓國產業銀行）,국회의사당 （KDB산업은행）,National Assembly （KDB Bank）,│,,1.5,16.0,首爾特別市,永登浦區
915,汝矣島 （新韓投資證券）,여의도 （신한투자증권）,Yeouido （Shinhan Securities）,●,● 首都圈電鐵5號線,0.9,16.9,首爾特別市,永登浦區
916,赛江 （KB金融城）,샛강 （KB금융타운）,Saetgang （KB Financial Town）,│,● 首爾輕電鐵新林線,0.8,17.7,首爾特別市,永登浦區
917,鷺梁津,노량진,Noryangjin,●,● 首都圈電鐵1號線,1.2,18.9,首爾特別市,銅雀區
918,鷺得,노들,Nodeul,│,,1.1,20.0,首爾特別市,銅雀區
919,黑石 （中央大學）,흑석 （중앙대입구）,Heukseok （Chung-Ang Univ.）,│,,1.1,21.1,首爾特別市,銅雀區
920,銅雀 （顯忠院）,동작 （현충원）,Dongjak （Seoul National Cemetery）,●,● 首都圈电铁4号线,1.4,22.5,首爾特別市,銅雀區
921,舊盤浦,구반포,Gubanpo,│,,1.0,23.5,首爾特別市,瑞草區
922,新盤浦,신반포,Sinbanpo,│,,0.7,24.2,首爾特別市,瑞草區
923,高速巴士客运站,고속터미널,Express Bus Terminal,●,● 首都圈電鐵3號線 ● 首爾地鐵7號線,0.8,25.0,首爾特別市,瑞草區
924,砂平,사평,Sapyeong,│,,1.1,26.1,首爾特別市,瑞草區
925,新論峴,신논현,Sinnonhyeon,●,● 新盆唐線,0.9,27.0,首爾特別市,江南區
926,彥州 （江南車醫院）,언주 （강남차병원）,Eonju （CHA Gangnam Medical Center）,│,,0.8,27.8,首爾特別市,江南區
927,宣靖陵,선정릉,Seonjeongneung,●,● 首都圈電鐵水仁·盆唐線,0.9,28.7,首爾特別市,江南區
928,三成中央,삼성중앙,Samseongjungang,│,,0.8,29.5,首爾特別市,江南區
929,奉恩寺,봉은사,Bongeunsa,●,,0.8,30.3,首爾特別市,江南區
930,綜合運動場,종합운동장,Sports Complex,●,● 首爾地鐵2號線,1.4,31.7,首爾特別市,松坡區
931,三田,삼전,Samjeon,│,,1.4,33.1,首爾特別市,松坡區
932,石村古墳,석촌고분,Seokchon Gobun,│,,0.8,33.9,首爾特別市,松坡區
933,石村 （韓首醫院）,석촌 （한솔병원）,Seokchon （Hansol Hospital）,●,● 首都圈電鐵8號線,1.0,34.9,首爾特別市,松坡區
934,松坡渡口,송파나루,Songpanaru,│,,0.8,35.7,首爾特別市,松坡區
935,漢城百濟,한성백제,Hanseong Baekje,│,,0.8,36.5,首爾特別市,松坡區
936,奧林匹克公園 （韓國體育大學）,올림픽공원 （한국체대）,Olympic Park （Korea National Sport Univ.）,●,● 首都圈電鐵5號線馬川支線,1.4,37.9,首爾特別市,松坡區
937,遁村五輪,둔촌오륜,Dunchon Oryun,│,,1.0,38.9,首爾特別市,江東區
938,中央報勳醫院,중앙보훈병원,VHS Medical Centre,●,,1.7,40.6,首爾特別市,江東區
首爾特別市,江東區,,,,,,,,
