車站編號,中文站名,韓文站名,英文站名,接續路線,直通,站間距離,營業距離,所在地,所在地.1
A01,首爾站,서울,Seoul,● 首都圈電鐵1號線 ● 首都圈电铁4号线 ● 首都圈電鐵京義·中央線 ● 首都圈廣域急行鐵道A路線 京釜線 京義線,●,-,0.0,首爾特別市,龍山區
A02,孔德,공덕,Gongdeok,● 首都圈電鐵5號線 ● 首尔地铁6号线 ● 首都圈電鐵京義·中央線,│,3.3,3.3,首爾特別市,麻浦區
A03,弘益大學,홍대입구,Hongik Univ.,● 首爾地鐵2號線 ● 首都圈電鐵京義·中央線,│,2.8,6.1,首爾特別市,麻浦區
A04,數碼媒體城,디지털미디어시티,Digital Media City,● 首尔地铁6号线 ● 首都圈電鐵京義·中央線,│,3.4,9.5,首爾特別市,恩平區
A042,麻谷渡口,마곡나루,Magongnaru,● 首爾地鐵9號線,│,8.6,18.1,首爾特別市,江西區
A05,金浦機場,김포공항,Gimpo Int'l Airport,● 首都圈電鐵5號線 ● 首爾地鐵9號線 ● 金浦都市鐵道 ● 首都圈電鐵西海線,│,2.3,20.4,首爾特別市,江西區
A06,桂陽,계양,Gyeyang,● 仁川都市鐵道1號線,│,6.6,27.0,仁川廣域市,桂陽區
A07,黔岩,검암,Geomam,● 仁川都市铁道2号线,│,5.5,32.5,仁川廣域市,西海區
A071,青羅國際城,청라국제도시,Cheongna Int'l City,,│,4.8,37.3,仁川廣域市,西海區
A072,永宗,영종,Yeongjong,,│,10.3,47.6,仁川廣域市,永宗區
A08,雲西,운서,Unseo,,│,3.5,51.1,仁川廣域市,永宗區
A09,機場貨物辦公樓,공항화물청사,Incheon Int'l Airport Cargo Terminal,,│,4.3,55.4,仁川廣域市,永宗區
A10,仁川國際機場1號航站楼,인천공항1터미널,Incheon Int'l Airport Terminal 1,● 仁川机场磁悬浮线,●,2.6,58.0,仁川廣域市,永宗區
A11,仁川國際機場2號航站楼,인천공항2터미널,Incheon Int'l Airport Terminal 2,,●,5.8,63.8,仁川廣域市,永宗區
