車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,營業距離,所在地,所在地.1
301,水營,수영,Suyeong,● 釜山都市铁道2号线,-,0.0,釜山廣域市,水营区
302,望美,망미 （부산지방병무청）,Mangmi,,1.0,1.0,釜山廣域市,水营区
303,盃山,배산,Baesan,,1.2,2.2,釜山廣域市,莲堤区
304,水滿谷,물만골,Mulmangol,,1.1,3.3,釜山廣域市,莲堤区
305,蓮山,연산,Yeonsan,● 釜山都市铁道1号线,1.1,4.4,釜山廣域市,莲堤区
306,巨堤,거제,Geoje,● 广域电铁东海线,0.7,5.1,釜山廣域市,莲堤区
307,綜合運動場,종합운동장,Sports Complex,,0.7,5.8,釜山廣域市,莲堤区
308,社稷,사직,Sajik,,0.8,6.6,釜山廣域市,东莱区
309,美南,미남,Minam,● 釜山都市铁道4号线,0.8,7.4,釜山廣域市,东莱区
310,萬德,만덕,Mandeok,,3.3,10.7,釜山廣域市,北區
311,南山亭,남산정 （부산폴리텍대학）,Namsanjeong,,1.1,11.8,釜山廣域市,北區
312,淑嶝,숙등,Sukdeung,,1.0,12.8,釜山廣域市,北區
313,德川,덕천 （부산과기대）,Deokcheon,● 釜山都市铁道2号线,0.7,13.5,釜山廣域市,北區
314,龜浦,구포,Gupo,京釜線,1.1,14.6,釜山廣域市,北區
315,江西區廳,강서구청,Gangseo-gu Office,,1.6,16.2,釜山廣域市,江西區
316,體育公園,체육공원,Sports Park,,1.1,17.3,釜山廣域市,江西區
317,大渚,대저,Daejeo,● 釜山－金海轻电铁,0.8,18.1,釜山廣域市,江西區
