車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,累積距離,所在地,所在地.1
1,沙上,사상 （서부터미널）,Sasang,● 釜山都市铁道2号线 京釜線,-,0.0,釜山廣域市,沙上区
2,掛法Renecite （江邊公園）,괘법르네시떼 （강변공원）,Gwaebeop Renecite （Gangbyeon Park）,,0.8,0.8,釜山廣域市,沙上区
3,西釜山流通地區,서부산유통지구 （금호마을）,Seobusan Yutongjigu,,2.3,3.1,釜山廣域市,江西區
4,機場,공항,Gimhae International Airport,,0.9,4.0,釜山廣域市,江西區
5,德斗,덕두,Deokdu,,1.3,5.3,釜山廣域市,江西區
6,登龜,등구,Deunggu,,1.9,7.2,釜山廣域市,江西區
7,大渚,대저,Daejeo,● 釜山都市铁道3号线,2.0,9.2,釜山廣域市,江西區
8,平江,평강,Pyeonggang,,1.0,10.2,釜山廣域市,江西區
9,大沙,대사,Daesa,,1.2,11.4,釜山廣域市,江西區
10,佛岩,불암,Buram,,1.1,12.5,慶尚南道,金海市
11,池內,지내,Jinae,,0.7,13.2,慶尚南道,金海市
12,金海大學,김해대학 （안동）,Gimhae College （Andong）,,0.8,14.0,慶尚南道,金海市
13,仁濟大,인제대 （활천）,Inje Univ. （Hwalcheon）,,1.3,15.3,慶尚南道,金海市
14,金海市廳,김해시청,Gimhae City Hall,,1.0,16.3,慶尚南道,金海市
15,府院,부원,Buwon,,0.6,16.9,慶尚南道,金海市
16,鳳凰,봉황 （김해여객터미널）,Bonghwang,,1.0,17.9,慶尚南道,金海市
17,首露王陵,수로왕릉 （김해보건소）,Royal Tomb of King Suro （Gimhae Community Health Center）,,0.7,18.6,慶尚南道,金海市
18,博物館,박물관,Gimhae National Museum,,0.8,19.4,慶尚南道,金海市
19,蓮池公園,연지공원,Yeonji Park,,1.1,20.5,慶尚南道,金海市
20,長神大,장신대 （화정）,Presbyterian Univ.,,1.2,21.7,慶尚南道,金海市
21,加耶大 （三溪）,가야대 （삼계）,Gaya Univ. （Samgyae）,,0.9,22.6,慶尚南道,金海市
