車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,營業距離,所在地,所在地.1
D04,新沙,신사,Sinsa,● 首都圈電鐵3號線,-,0.0,首爾特別市,江南區
D05,論峴,논현,Nonhyeon,● 首爾地鐵7號線,0.7,0.7,首爾特別市,江南區
D06,新論峴,신논현,Sinnonhyeon,● 首爾地鐵9號線,0.8,1.5,首爾特別市,江南區
D07,江南,강남,Gangnam,● 首爾地鐵2號線,0.9,2.4,首爾特別市,江南區
D08,良才 （瑞草區廳）,양재 （서초구청）,Yangjae （Seocho-gu Office）,● 首都圈電鐵3號線,1.5,3.9,首爾特別市,瑞草區
D09,良才市民之林 （梅軒）,양재시민의숲 （매헌）,Yangjae Citizen's Forest （Maeheon）,,1.6,5.5,首爾特別市,瑞草區
D10,清溪山,청계산입구,Cheonggyesan,,2.9,8.4,首爾特別市,瑞草區
D11,板橋 （板橋技術谷）,판교 （판교테크노밸리）,Pangyo （Pangyo Techno Valley）,● 首都圈電鐵京江線,8.2,16.6,京畿道,城南市
D12,亭子,정자,Jeongja,● 首都圈電鐵水仁·盆唐線,3.1,19.7,京畿道,城南市
D13,美金 （盆唐首爾大醫院）,미금 （분당서울대병원）,Migeum （Seoul Nat'l Univ. Bundang Hospital）,● 首都圈電鐵水仁·盆唐線,1.9,21.6,京畿道,城南市
D14,東川,동천,Dongcheon,,1.6,23.2,京畿道,龍仁市
D15,水枝區廳,수지구청,Suji-gu Office,,2.1,25.3,京畿道,龍仁市
D16,星福,성복,Seongbok,,1.7,27.0,京畿道,龍仁市
D17,上峴,상현,Sanghyeon,,2.1,29.1,京畿道,龍仁市
D18,光教中央 （亞洲大學）,광교중앙 （아주대）,Gwanggyo Jungang （Ajou Univ.）,,2.4,31.5,京畿道,水原市
D19,光教 （京畿大學）,광교 （경기대）,Gwanggyo （Kyonggi Univ.）,,1.9,33.4,京畿道,水原市
