車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,營業距離,所在地,所在地.1
K110,釜田,부전,Bujeon,● 釜山都市铁道1号线 東海線 釜田線,-,0.0,釜山廣域市,釜山鎮區
K111,巨堤迎日,거제해맞이,Geojehaemaji,,2.3,2.3,釜山廣域市,蓮堤區
K112,巨堤,거제,Geoje,● 釜山都市铁道3号线,1.0,3.3,釜山廣域市,蓮堤區
K113,教大,교대,Busan Nat'l Univ. of Edu.,● 釜山都市铁道1号线,0.7,4.0,釜山廣域市,蓮堤區
K114,東萊,동래,Dongnae,,1.2,5.2,釜山廣域市,東萊區
K115,安樂,안락,Allak,,0.9,6.1,釜山廣域市,東萊區
K116,釜山院洞,부산원동,Busan Wondong,,1.3,7.4,釜山廣域市,東萊區
K117,栽松,재송,Jaesong,,1.0,8.4,釜山廣域市,海雲臺區
K118,Centum,센텀,Centum,,1.0,9.4,釜山廣域市,海雲臺區
K119,BEXCO,벡스코,BEXCO,● 釜山都市铁道2号线,1.4,10.8,釜山廣域市,海雲臺區
K120,新海雲臺,신해운대,Shinhaeundae,,4.5,15.3,釜山廣域市,海雲臺區
K121,松亭,송정,Songjeong,,2.9,18.2,釜山廣域市,海雲臺區
K122,東釜山旅遊區,오시리아,OSIRIA,,1.1,19.3,釜山廣域市,機張郡
K123,機張,기장,Gijang,,5.7,25.0,釜山廣域市,機張郡
K124,日光,일광,Ilgwang,,3.0,28.0,釜山廣域市,機張郡
K125,佐川,좌천,Jwacheon,,5.3,33.3,釜山廣域市,機張郡
K126,月內,월내,Wollae,,3.4,36.7,釜山廣域市,機張郡
K127,西生,서생,Seosaeng,,2.5,39.2,蔚山廣域市,蔚州郡
K128,南倉,남창,Namchang,溫山線,8.4,47.6,蔚山廣域市,蔚州郡
K129,望陽,망양,Mangyang,蔚山新港線,4.4,52.0,蔚山廣域市,蔚州郡
K130,德下,덕하,Deokha,,4.5,56.5,蔚山廣域市,蔚州郡
K131,開雲浦,개운포,Gaeunpo,,2.4,58.9,蔚山廣域市,蔚州郡
K132,太和江,태화강,Taehwagang,長生浦線 蔚山港線,4.9,63.8,蔚山廣域市,南區
↓ 與東海線直通運行,↓ 與東海線直通運行,↓ 與東海線直通運行,↓ 與東海線直通運行,↓ 與東海線直通運行,↓ 與東海線直通運行,↓ 與東海線直通運行,↓ 與東海線直通運行,↓ 與東海線直通運行
