車站編號,中文站名,韓文站名,英文站名,接續路線,站間距離,營業距離,所在地,所在地.1
S110,北漢山牛耳 （道詵寺入口）,북한산우이 （도선사입구）,Bukhansan Ui （Doseonsa）,,-,0.0,首爾特別市,江北區
S111,松林公園,솔밭공원,Solbat Park,,0.8,0.8,首爾特別市,江北區
S112,四一九民主墓地 （德成女子大學）,4.19민주묘지 （덕성여대）,April 19th National Cemetery （Duksung Women's University）,,0.7,1.5,首爾特別市,江北區
S113,加五里,가오리,Gaori,,0.9,2.4,首爾特別市,江北區
S114,華溪,화계,Hwagye,,0.8,3.2,首爾特別市,江北區
S115,三陽,삼양,Samyang,,0.8,4.0,首爾特別市,江北區
S116,三陽十字路口,삼양사거리,Samyangsageori,,0.7,4.7,首爾特別市,江北區
S117,松泉,솔샘,Solsaem,,0.8,5.5,首爾特別市,江北區
S118,北漢山輔國門 （西京大學）,북한산보국문 （서경대）,Bukhansan Bogungmun （Seokyeong University）,,1.2,6.7,首爾特別市,城北區
S119,貞陵 （國民大學入口）,정릉 （국민대입구）,Jeongneung （Kookmin University）,,1.2,7.9,首爾特別市,城北區
S120,誠信女子大學 （敦岩）,성신여대입구 （돈암）,Sungshin Women's Univ. （Donam）,● 首都圈电铁4号线,1.2,9.1,首爾特別市,城北區
S121,普門,보문,Bomun,● 首尔地铁6号线,0.9,10.0,首爾特別市,城北區
S122,新設洞,신설동,Sinseol-dong,● 首都圈電鐵1號線 ● 首爾地鐵2號線聖水支線,1.0,11.0,首爾特別市,東大門區
首爾特別市,,,,,,,,
首爾特別市,,,,,,,,
